NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
21VIANETGPUS$200M7%N200817                                  XS1640517907        7I4B      21Vianet n7%200817S
KOREADEVBK CNY120M4.6%N210222                               XS1773654832        8IJB      KoreaDevBkn4.6%210222S
KOREADEVBK CNY150M4.45%N231108                              XS0988388301        2M2B      KorDeBkn4.45%231108S
KOREADEVBK CNY1B3.55%N180619                                XS1249382018        31OB      KoreaDevB n3.55%180619S
KOREADEVBK CNY210M4.1%N231218                               XS1003269575        2R8B      KorDevBkn4.1%231218S
KOREADEVBK CNY310M4.03%N200912                              XS1877531712        MWVB      KorDevBk n4.03%200912S
KOREADEVBK CNY60M3.6%N191102                                XS1512730091        61CB      KorDeBkn3.6%191102S
KOREADEVBK EUR500M N240710                                  XS2022179159        QWQB      KorDevBk n240710S
KOREADEVBK GBP250M1.75%N221215                              XS1710541506        83NB      KorDevBk n1.75%221215S
KOREADEVBK IDR615B6%N250123                                 XS2107584299        5S1B      KorDevBk n6%250123S
KOREADEVBK IDR670B7%N221130A                                XS1728868503        8COB      KorDevBk n7%221130A
KOREADEVBK IDR670B7%N221130R                                XS1728935385        8CPB      KorDevBk n7%221130R
KOREADEVBK IDR680B6%N250122                                 XS2105040872        FYPB      KorDevBk n6%250122S
KOREADEVBK NOK300M 4% N200423                               XS0985220267        2R2B      KorDevBkn4%n200423S
KOREADEVBK S$200M2.05%N180723                               XS1263888023        33CB      KorDeBkn2.05%180723S
KOREADEVBK SEK400M1.83%N270810                              XS1662525630        7H8B      KoreaDevBk n1.83%270810S
KOREADEVBK US$150M F210412                                  XS1385991754        3X3B      KorDeBk f210412 S
KOREADEVBK US$1B 3%N260113                                  US500630CJ53        38WB      KorDeBkn3%260113S
KOREADEVBK US$20M 3.8%N231218                               XS1005346579        2R0B      KorDeBkn3.8%231218S
KOREADEVBK US$20M F210306                                   XS1788542832        8LIB      KorDevBk f210306 S
KOREADEVBK US$20M F230212                                   XS1770932975        8IAB      KorDevBk f230212 S
KOREADEVBK US$20M F230514                                   XS1820821558        8UNB      KorDevBk f230514 S
KOREADEVBK US$20M3.615%N240430                              XS1062544512        3M0B      KorDeBkn3.615%240430S
KOREADEVBK US$20M3.66%N231126                               XS0997295463        2R7B      KorDevBkn3.66%231126S
KOREADEVBK US$2B8%N140123                                   US500630BQ06        3UNB      KorDeBk n8%140123S
KOREADEVBK US$300M F221030                                  XS1706085773        83JB      KorDevBk f221030 S
KOREADEVBK US$30M 3.68%N231126                              XS0997294813        2R5B      KorDeBkn3.68%231126S
KOREADEVBK US$30M 3.79%N231113                              XS0991751768        2L0B      KorDeBkn3.79%231113S
KOREADEVBK US$30M 4%N231101                                 XS0986073749        2I4B      KorDeBkn4%231101S
KOREADEVBK US$30M3.605%N240429                              XS1062029662        3M1B      KorDeBkn3.605%240429S
KOREADEVBK US$500M 2.5%N210113                              US500630CH97        38XB      KorDeBkn2.5%210113S
KOREADEVBK US$500M F200919                                  US500630CR79        7Y1B      KorDevBk f200919 S
KOREADEVBK US$500M F210312                                  US500630CT36        8LYB      KorDevBk f210312 S
KOREADEVBK US$500M F221001                                  US500630CX48        YKSB      KorDevBk f221001 S
KOREADEVBK US$500M2.25%N170807                              US50065TAD54        2GPB      KorDevBk2.25%170807S
KOREADEVBK US$500M2.25%N200518                              US500630CE66        29MB      KorDeBkn2.25%200518S
KOREADEVBK US$50M 3.7%N231106                               XS0988743562        2J3B      KorDeBkn3.7%231106S
KOREADEVBK US$50M 3.8%N231212                               XS1004019086        2Q7B      KorDeBkn3.8%231212S
KOREADEVBK US$50M3.25%N241114                               XS1138308835        20YB      KorDeBkn3.25%241114S
KOREADEVBK US$50M3.376%N250709                              XS1258415899        32LB      KorDeBkn3.376%250709S
KOREADEVBK US$50M3.62%N240429                               XS1062029746        3M8B      KorDeBkn3.62%240429S
KOREADEVBK US$750M 3%N190317                                US500630CA45        2A5B      KorDeBkn3%190317S
KOREADEVBK US$750M F230218                                  US500630CZ95        HXCB      KorDeBk f230218 S
KOREADEVBK US$750M1.75%N250218                              US500630DB19        OWKB      KorDeBkn1.75%250218S
KOREADEVBK US$750M2.5%N200311                               US500630CD83        15LB      KorDeBkn2.5%200311S
KOREADEVBK US$750M3%N220914                                 US500630BX56        2HWB      KorDeBk n3%220914S
KOREADEVBK USD20M3.81%N231218                               XS1005347205        2R9B      KorDevBkn3.81%231218S
KOREADEVBK USD250M F201203                                  XS1917614726        HJKB      KorDevBk f201203S
KOREADEVBK USD300M F220706                                  US500630CQ96        76IB      KoreaDevBk f220706S
KOREADEVBK USD30M3.7%N240411                                XS1055854381        3G8B      KorDevBkn3.7%240411S
KOREADEVBK USD30M3.72%N240410                               XS1055479601        3G9B      KorDevBkn3.72%240410S
KOREADEVBK USD500M F200227                                  US500630CM82        6D4B      KoreaDevBk f200227S
KOREADEVBK USD500M F220227                                  US500630CN65        6D5B      KoreaDevBk f220227S
KOREADEVBK USD50M F230124                                   XS2107380961        VJFB      KorDevBk f230124S
KOREADEVBK USD50M3.7%N240411                                XS1056202846        3H4B      KorDeBkn3.7%240411S
KOREADEVBK USD750M3.75%N240122                              US500630CC01        2U4B      KorDevBkn3.75%240122S
KOREADEVBKA$74M1.46%250224S780                              XS2124038147        EWGB      KorDeBkS780n1.46%250224S
KOREADEVBKA$74M1.46%250224S781                              XS2124038220        TBBB      KorDeBkS781n1.46%250224S
KOREADEVBKAUD100M3.966%N261130                              XS1528917682        65QB      KorDevBk3.966%n261130S
KOREADEVBKCNH230M4.355%N200829                              XS1664416333        7K2B      KorDeBkn4.355%200829S
KOREADEVBKCNH300M4.585%N210213                              XS1770316401        8HUB      KoreaDevBkn4.585%210213S
KOREADEVBKEUR100M F191028                                   XS1128241897        20BB      KorDeBk f191028S
KOREADEVBKGBP30M1.23%N221122S6                              XS2082901344        1YCB      KorDevBkS6 n1.23%221122S
KOREADEVBKGBP35M1.23%N221122S4                              XS2082901427        VSWB      KorDevBkS4 n1.23%221122S
KOREADEVBKGBP35M1.23%N221122S5                              XS2083005392        ZPUB      KorDevBkS5 n1.23%221122S
KOREADEVBKGBP36M1.279%N221126                               XS2083951579        OAQB      KorDevBk n1.279%221126S
KOREADEVBKNZD100M5.125%N201113                              XS1136252795        20WB      KorDeBk n5.125%201113S
KOREADEVBKSEK200M2.01%N280227                               XS1783945923        8KMB      KorDevBkn2.01%280227S
KOREADEVBKSEK400M1.815%N270816                              XS1664200752        7I8B      KorDevBkn1.815%270816S
KOREADEVBKSEK410M1.74%N271130                               XS1726323865        8DLB      KorDevBkn1.74%271130S
KOREADEVBKUS$500M1.5%N180122                                US500630BY30        2NZB      KorDeBkn1.5%180122S
KOREADEVBKUS$500M2.125%N241001                              US500630CY21        OORB      KorDeBk n2.125%241001S
KOREADEVBKUS$500M2.875%N180822                              US50065TAE38        2YXB      KorDevBk2.875%n180822S
KOREADEVBKUS$750M3.375%N250916                              US500630CG15        35DB      KorDeBkn3.375%250916S
KOREADEVBKUS$750M3.5%N170822                                US500630BW73        7YFB      KorDeBk3.5%170822S
KOREADEVBKUS$750M4.625%N211116                              US50065TAC71        7UYB      KorDevBk4.625%211116S
KOREADEVINR1.2822B5.8%N200901A                              XS1670634200        7U3B      KorDeBkn5.8%200901A
KOREADEVINR1.2822B5.8%N200901R                              XS1670647871        7U4B      KorDeBkn5.8%200901R
KOREAELPWRUS$300M5.125%340423A                              US500631AS53        6PEB      KorElPn5.125%340423A
KOREAELPWRUS$300M5.125%340423R                              USY48406BA27        6PFB      KorElPn5.125%340423R
KOREAEWPWR US$500M2.5%N170716A                              US5006EPAC53        2FAB      KoreaEWPwr2.5%170716A
KOREAEWPWR US$500M2.5%N170716R                              USY4836TAG68        2FBB      KoreaEWPwr2.5%170716R
KOREAEWPWRUS$500M2.5%N200602A                               US5006EPAF84        21UB      KoreaEWPwr n2.5%200602A
KOREAEWPWRUS$500M2.5%N200602R                               USY4836TBB62        21TB      KoreaEWPwr n2.5%200602R
KOREAEWPWRUS$500M2.625%181127A                              US5006EPAD37        2O0B      KoreaEWPwr2.625%181127A
KOREAEWPWRUS$500M2.625%181127R                              USY4836TAS07        2N9B      KoreaEWPwr2.625%181127R
KOREAEWPWUS$500M2.625%N220619A                              US5006EPAG67        75BB      KoreaEWPw n2.625%220619A
KOREAEWPWUS$500M2.625%N220619R                              USY4836TBF76        75CB      KoreaEWPw n2.625%220619R
KOREAEWPWUS$500M3.875%N230719A                              US5006EPAJ07        SGNB      KoreaEWPw n3.875%230719A
KOREAEWPWUS$500M3.875%N230719R                              USY4836TBK61        RRYB      KoreaEWPw n3.875%230719R
KOREAEXP US$100M2.565%N310705                               XS1438292358        4H9B      KorExpn2.565%310705S
KOREAEXP US$300M3.625%N211022A                              US50065JAE55        UOYB      KorExpn3.625%211022A
KOREAEXP US$300M3.625%N211022R                              US50065KAE29        LFFB      KorExpn3.625%211022R
KOREAEXP US$500M1.875%N171022A                              US50066HAA68        2KLB      KorExpn1.875%171022A
KOREAEXP US$500M1.875%N171022R                              USY4872AAX55        2KMB      KorExpn1.875%171022R
KOREAEXP USD200M 2.7%N261026                                XS1395419101        4A3B      KorExp n2.7%261026 S
KOREAEXP USD400MF200420A                                    US50065JAD72        6T3B      KorExp f200420A
KOREAEXP USD400MF200420R                                    US50065KAD46        6T4B      KorExp f200420R
KOREAGAS US$100M2.7%N260510                                 XS1407725776        4C0B      KoreaGas n2.7%260510S
KOREAGAS US$100M2.8%N260329                                 XS1387811190        3V6B      KoreaGas n2.8%260329S
KOREAGAS US$100M2.83%N260322                                XS1383509590        3U8B      KoreaGas n2.83%260322S
KOREAGAS US$400M2.25%N260718A                               US50066AAL70        4J0B      KoreaGas n2.25%260718A
KOREAGAS US$400M2.25%N260718R                               US50066CAL37        4J1B      KoreaGas n2.25%260718R
KOREAGAS US$400M2.75%N220720A                               US50066AAM53        77ZB      KoreaGas n2.75%220720A
KOREAGAS US$400M2.75%N220720R                               US50066CAM10        77YB      KoreaGas n2.75%220720R
KOREAGAS US$400M3.125%N270720A                              US50066AAN37        78AB      KoreaGas n3.125%270720A
KOREAGAS US$400M3.125%N270720R                              US50066CAN92        78BB      KoreaGas n3.125%270720R
KOREAGAS US$500M1.875%N210718A                              US50066AAK97        4J2B      KoreaGas n1.875%210718A
KOREAGAS US$500M1.875%N210718R                              US50066CAK53        4J3B      KoreaGas n1.875%210718R
KOREAGAS US$500M2.875%N180729A                              US50066AAF03        2YAB      KorGas n2.875%180729A
KOREAGAS US$500M2.875%N180729R                              US50066CAF68        2XZB      KorGas n2.875%180729R
KOREAGAS US$500M2.875%N290716A                              US50066AAP84        RPCB      KorGas n2.875%290716A
KOREAGAS US$500M2.875%N290716R                              US50066CAP41        TBAB      KorGas n2.875%290716R
KOREAGAS US$500M3.5%N250721A                                US50066AAJ25        32SB      KoreaGas n3.5%250721A
KOREAGAS US$500M3.5%N250721R                                US50066CAJ80        32TB      KoreaGas n3.5%250721R
KOREAGAS US$500M3.5%N260702A                                US50066AAH68        11RB      KorGas n3.5%260702A
KOREAGAS US$500M3.5%N260702R                                US50066CAH25        11QB      KorGas n3.5%260702R
KOREAGAS US$500M3.875%N240212A                              US50066AAG85        2Y2B      KorGas n3.875%240212A
KOREAGAS US$500M3.875%N240212R                              US50066CAG42        2Y3B      KorGas n3.875%240212R
KOREAGASUS$50M3.3%N251105                                   XS1132738524        20EB      KorGas n3.3%251105S
KOREAGASUS$50M3.3%N251105B                                  XS1132872257        20KB      KorGas n3.3%251105BS
KOREAHSE EUR1B0.01%B250205A                                 XS2100269328        RWSB      KorHse b0.01%250205A
KOREAHSE EUR1B0.01%B250205R                                 XS2100269088        IVOB      KorHse b0.01%250205R
KOREAHSE EUR500M0.1%B240618A                                XS1999732826        EIAB      KorHse b0.1%240618A
KOREAHSE EUR500M0.1%B240618R                                XS1999730374        JPUB      KorHse b0.1%240618R
KOREAHSE EUR500M0.75%B231030A                               XS1900543494        YMNB      KorHse b0.75%231030A
KOREAHSE EUR500M0.75%B231030R                               XS1900542926        JKTB      KorHse b0.75%231030R
KOREAHSE US$500M2%B211011A                                  US50065RAE71        4Y7B      KorHse b2%211011A
KOREAHSE US$500M2%B211011R                                  USY4841K5T67        4Y8B      KorHse b2%211011R
KOREAHSE US$500M2.5%B201115A                                US50065RAD98        37PB      KorHse b2.5%201115A
KOREAHSE US$500M2.5%B201115R                                USY4841KYV97        37OB      KorHse b2.5%201115R
KOREAHSE US$500M3%B221031A                                  US50065RAF47        83OB      KorHse b3%221031A
KOREAHSE US$500M3%B221031R                                  USY4841LGS44        83PB      KorHse b3%221031R
KOREAHYDRO US$750M3%N220919A                                US50064YAF07        2IJB      KorHydron3%220919A
KOREAHYDRO US$750M3%N220919R                                USY4899GAW34        2IKB      KorHydron3%220919R
KOREAHYDROUS$600M3.75%N230725A                              US50064YAN31        QLZB      KorHydron3.75%230725A
KOREAHYDROUS$600M3.75%N230725R                              USY4899GDC43        ZM7B      KorHydron3.75%230725R
KOREAHYDRUS$300M2.375%N191028A                              US50064YAK91        19IB      KorHydn2.375%191028A
KOREAHYDRUS$300M2.375%N191028R                              USY4899GBX08        19JB      KorHydn2.375%191028R
KOREAHYDRUS$300M3.125%N270725A                              US50064YAM57        78IB      KorHydn3.125%270725A
KOREAHYDRUS$300M3.125%N270725R                              USY4899GCJ05        78JB      KorHydn3.125%270725R
KOREAHYDRUS$300M3.25%N250615A                               US50064YAL74        31HB      KorHydn3.25%250615A
KOREAHYDRUS$300M3.25%N250615R                               USY4899GCB78        31GB      KorHydn3.25%250615R
KOREAHYDRUS$500M2.875%N181002A                              US50064YAH62        2D7B      KorHydn2.875%181002A
KOREAHYDRUS$500M2.875%N181002R                              USY4S41LBA69        2D8B      KorHydn2.875%181002R
KOREAHYDRUS$500M4.75%N210713A                               US50064YAC75        4XSB      KorHydn4.75%210713A
KOREAHYDRUS$500M4.75%N210713R                               USY4899GAS22        4XTB      KorHydn4.75%210713R
KOREALAND US$200M2.468%N280623                              XS1436861089        4G7B      KoreaLandn2.468%280623S
KOREALAND US$70M2.62%N311028                                XS1509929581        61GB      KoreaLandn2.62%311028S
KOREALAND USD30M2.81%N311116                                XS1515027255        66IB      KoreaLand n2.81%311116S
KOREALAND USD40M2.8%N311116                                 XS1515222542        66HB      KoreaLand n2.8%311116S
KOREAMID US$300M3.375%N220122                               XS1917957687        MGUB      KorMid 3.375%n220122S
KOREAMIDLD EUR40M1.7%N371030                                XS1709306655        83HB      KorMidland n1.7%371030S
KOREAMIDLD US$300M2.5%N210721                               XS1341490602        39PB      KorMidland 2.5%n210721S
KOREAMIDLDSEK450M2.355%N371116                              XS1719069038        85EB      KorMidld n2.355%371116S
KOREAN AIR US$300M2%N220904                                 XS2047474585        KFGB      KoreanAir n2%220904S
KOREAN AIR US$300M6.875%CAPSEC                              XS1627752519        74LB      KoreanAir6.875%CapSec S
KOREANAIR US$300M5.875%N210306                              XS1763164206        8LHB      KoreanAir n5.875%210306S
KOREANATOIL EUR37M2.4%N230204                               XS0883966425        2PNB      KorNOn2.4%230204S
KOREANATOIL EUR50M3.09%N230703                              XS0949090582        2XBB      KorNOn3.09%230703S
KOREANATOIL EUR50M4%N220328                                 XS0749479308        2APB      KorNOn4%220328S
KOREANATOIL EUR60M3%N250624                                 XS0946688677        2WYB      KorNOn3%250624S
KOREANATOIL HK$160M2.5%N250326                              XS2147876440        RNIB      KorNO n2.5%250326S
KOREANATOIL HK$390M4.5%N210304                              XS0595675439        4XPB      KorNOn4.5%210304S
KOREANATOIL US$400MF230716                                  XS1850316750        GDAB      KorNatOil f230716S
KOREANATOIL US$50M3.1%N270121                               XS1170273251        23QB      KorNatOil n3.1%270121S
KOREANATOIL US$60M3.02%N300429                              XS1225604146        28WB      KorNatOil n3.02%300429S
KOREANATOIL US$70M3.1%N270121                               XS1171491704        23PB      KorNOn3.1%270121S
KOREANATOIL US$85M3.21%N300319                              XS1205345132        26LB      KorNatOil n3.21%300319S
KOREANATOIL US$90M2.99%N250319                              XS1205346882        26FB      KorNatOil n2.99%250319S
KOREANATOILUS$100M3.22%N301110                              XS1317153150        37FB      KorNatOil n3.22%301110S
KOREANATOILUS$65M2.818%N250429                              XS1225604229        28VB      KorNatOil n2.818%250429S
KOREANATOILUSD500M4%N240123A                                US50065WAF32        2V3B      KorNOn4%240123A
KOREANATOILUSD500M4%N240123R                                US50065XAF15        2V4B      KorNOn4%240123R
KOREANATOUS$500M2.875%N220327A                              US50066PAF71        6J1B      KorNOn2.875%220327A
KOREANATOUS$500M2.875%N220327R                              US50066RAF38        6J2B      KorNOn2.875%220327R
KOREANATOUS$500M3.375%N270327A                              US50066PAG54        6J3B      KorNOn3.375%270327A
KOREANATOUS$500M3.375%N270327R                              US50066RAG11        6J4B      KorNOn3.375%270327R
KOREARAIL CHF100M0.2%N230712                                XS1856205221        DIEB      KoreaRail n0.2%230712S
KOREARAIL EUR100M1.88%N381025                               XS1892691459        LXJB      Korea Rail n1.88%381025S
KOREARAIL EUR110M1.72%N331002                               XS1885500378        8S8B      KoreaRail n1.72%331002S
KOREAREUS$500M2.125%N180502A                                US50066J2A16        2UHB      KoreaRn2.125%180502A
KOREAREUS$500M2.125%N180502R                                US50066K2A89        2UIB      KoreaRn2.125%180502R
KOREASOUTHUS$400M3%N210129A                                 US50065AAB08        8GJB      KoreaSo n3%210129A
KOREASOUTHUS$400M3%N210129R                                 USY4949FAE52        8GKB      KoreaSo n3%210129R
KOREAWATERRES US$100M F220802                               XS2029669343        HJXB      KoreaWater f220802 S
KOREAWATERRES US$300M2%N180416                              XS1120819849        18GB      KoreaWater n2%180416S
KOREAWATERRES YEN15B 2%N181001                              XS0962339817        2C3B      KoreaWater n2%181001S
KOREAWEST US$300M2.375%N220722                              XS2024662228        9J1B      KorWest n2.375%220722S
KOREAWEST US$300M3.75%N230607                               XS1831006298        NJSB      KorWest n3.75%230607S
KOREAWESTUS$500M2.875%N181010A                              US50066DAB38        2F6B      KorWest n2.875%181010A
KOREAWESTUS$500M2.875%N181010R                              US50066EAB11        2F7B      KorWest n2.875%181010R
KOREAWTRRS US$350M2.75%N220523                              XS1617140626        71LB      KoreaWatern2.75%220523S
KOREAWTRRSUS$300M3.875%N230515                              XS1798774656        8UJB      KoreaWatern3.875%230515S
KORI HOLDINGS LIMITED                                       SG2F40988253        5VC       Kori
KORLANDH CHF100M0.22%N230731                                XS1861147525        GPFB      KorLandn0.22%230731S
KORLANDH HK$470M2.43%N240928                                XS1687857042        80RB      KorLandn2.43%240928S
KORLANDH US$500M1.875%N170802A                              US50066MAA53        3M6B      KorLandn1.875%170802A
KORLANDH US$500M1.875%N170802R                              US50066NAA37        3M7B      KorLandn1.875%170802R
KORLANDHOUSING EUR75M2%N181007                              XS0969768877        2E5B      KorLandn2%181007S
KORNATOILUS$250M2.75%N190123TR                              US50065XAH70        12EB      KorNOn2.75%190123TR
KORNATOILUS$350M2%N211024A                                  US50066PAC41        60TB      KorNO n2%211024A
KORNATOILUS$350M2%N211024R                                  US50066RAC07        60UB      KorNO n2%211024R
KORNATOILUS$500M2.125%N210414A                              US50066PAA84        3X9B      KorNOn2.125%210414A
KORNATOILUS$500M2.125%N210414R                              US50066RAA41        3X8B      KorNOn2.125%210414R
KORNATOILUS$500M2.625%N260414A                              US50066PAB67        3Y1B      KorNOn2.625%260414A
KORNATOILUS$500M2.625%N260414R                              US50066RAB24        3Y0B      KorNOn2.625%260414R
KORNATOILUS$500MF200327A                                    US50066PAE07        6I9B      KorNOf200327A
KORNATOILUS$500MF200327R                                    US50066RAE62        6J0B      KorNOf200327R
KORNATOILUS$600M3.25%N251001A                               US50065WAK27        35UB      KorNOn3.25%251001A
KORNATOILUS$600M3.25%N251001R                               US50065XAK00        35VB      KorNOn3.25%251001R
KORNATOILUS$650M2.5%N261024A                                US50066PAD24        60RB      KorNO n2.5%261024A
KORNATOILUS$650M2.5%N261024R                                US50066RAD89        60SB      KorNO n2.5%261024R
KORNATOILUSD500M2.75%N190123A                               US50065WAE66        2V1B      KorNOn2.75%190123A
KORNATOILUSD500M2.75%N190123R                               US50065XAE40        2V2B      KorNOn2.75%190123R
KORNATOILUSD550M3.25%N240710A                               US50065WAG15        12AB      KorNOn3.25%240710A
KORNATOILUSD550M3.25%N240710R                               US50065XAG97        11ZB      KorNOn3.25%240710R
KOUFU GROUP LIMITED                                         SGXE10224322        VL6       Koufu
KOYO INTERNATIONAL LIMITED                                  SG1X69942156        5OC       Koyo Intl
KRISENERGY LTD.                                             KYG532261099        SK3       KrisEnergy
KRISENERGY LTD. W240131                                     KYG532261255        CDXW      KrisEnergy W240131
KRISENERGY S$139.464MZ240131                                SG31B6000003        CDVZ      KrisEnergy z240131
KRISENERGY S$200M2%N230822                                  SG77J3000002        66WB      KrisEnergyn2%230822S
KRISENERGYS$130M2%220609                                    SG77J4000001        66XB      KrisEnergyn2%220609S
KS ENERGY LIMITED                                           SG1G91873040        578       KS Energy^
KSH HOLDINGS LIMITED                                        SG1W44939146        ER0       KSH
KT CORP US$100M6.5%N340907                                  XS0200461126        6RWB      KT Corp n6.5%340907S
KT CORP US$400M2.5%N260718A                                 US48268KAE10        4K2B      KT Corp n2.5%260718A
KT CORP US$400M2.5%N260718R                                 USY49915AZ70        4K1B      KT Corp n2.5%260718R
KT CORP US$400M2.625%N220807A                               US48268KAF84        7E5B      KTCorp n2.625%220807A
KT CORP US$400M2.625%N220807R                               USY49915BA11        7E6B      KTCorp n2.625%220807R
KT CORP USD350M2.625%190422A                                US48268KAD37        3K6B      KTCorpn2.625%190422A
KT CORP USD350M2.625%190422R                                USY49915AY06        3K5B      KTCorpn2.625%190422R
KTL GLOBAL LIMITED                                          SG1W37938998        EB7       KTL Global^
KTMG LIMITED                                                SGXE61141383        XCF       KTMG
KYOBOUS$500M 3.95% PERCAPSEC A                              US501555AA46        78EB      Kyobo 3.95% PerCapSec A
KYOBOUS$500M 3.95% PERCAPSEC R                              USY4481PAA58        78FB      Kyobo 3.95% PerCapSec R
KYUSHUELEC YEN75BC220331                                    XS1575961872        6K8B      KyushuElec c220331S
L.R. CAPITAL US$150M5%N191221                               XS1534970527        66QB      L.R. Capital n5%191221S
LAFE CORPORATION LIMITED                                    BMG5352E1479        AYB       Lafe^
LANDMARK US$100MN3.2%N210715                                XS1439746691        4J5B      Landmarkn3.2%210715S
LANDMARK US$450M4.5%N220326                                 XS1963848806        UFFB      Landmarkn4.5%220326S
LANDSEAGR US$150M9.625%N200425                              XS1807156499        8TAB      LandseaGn9.625%200425S
LANDSEAGR US$200M10.5%N220620                               XS2015582716        JHIB      LandseaGn10.5%220620S
LANDSEAGR US$200M10.75%N221021                              XS2095992017        ICKB      LandseaGn10.75%221021S
LAO PDR US$150M6.875%N210630A                               US51656QAA04        FIKB      Lao PDR n6.875%210630A
LAO PDR US$150M6.875%N210630R                               USY52081AA71        UDFB      Lao PDR n6.875%210630R
LASSETERS INTL HOLDINGS LTD                                 SG1P64918631        5EL       Lasseters Intl
LBI ESCROW EURO375M8%N171101A                               XS0498579183        4EPB      LBI n8%171101A EU
LBI ESCROW EURO375M8%N171101R                               XS0498576833        4EQB      LBI n8%171101R EU
LBI ESCROW US$2.25B8%N171101A                               US50178TAA51        4ENB      LBI n8%171101A US
LBI ESCROW US$2.25B8%N171101R                               USU5139FAA40        4EOB      LBI n8%171101R US
LCT HOLDINGS LIMITED                                        BMG5376C1010        BJL       LCT
LEADER ENVIRONMENTAL TECH LTD                               SG2B93959478        LS9       Leader Env^
LENDLEASE GBP300M6.125%N211012                              XS0269774104        7QUB      LendLen6.125%211012S
LENDLEASE GLOBAL COMMERCIAL REIT                            SGXC61949712        JYEU      Lendlease Reit
LENDLEASE US$400M 4.5%N260526                               XS1418635337        4D2B      LendLease n4.5%260526 S
LENDLEASEA$80M5.425%N281207                                 AU3CB0259224        DNTB      LendLease n5.425%281207S
LENDLEASEFINS$300M3.9%N270427                               XS1602127992        6U6B      LendLeaseFin3.9%270427S
LENDLEASERE S$300M3.28%N210903                              SG6SF4000002        14YB      LendLeaseRen3.28%210903S
LENOVO PS US$850M5.375% PERSEC                              XS1575529539        6H9B      Lenovo 5.375%PerSec S
LEY CHOON GROUP HLDG LIMITED                                SG2F02983607        Q0X       Ley Choon
LG CHEM EUR500M0.5%N230415A                                 XS1972559352        W5YB      LG Chem n0.5%230415A
LG CHEM EUR500M0.5%N230415R                                 XS1972557737        YBJB      LG Chem n0.5%230415R
LG CHEM USD500M3.25%N241015A                                US501955AA67        HMKB      LG Chem n3.25%241015A
LG CHEM USD500M3.25%N241015R                                USY52758AC63        KTFB      LG Chem n3.25%241015R
LG CHEM USD500M3.625%N290415A                               US501955AB41        ZJ3B      LG Chem n3.625%290415A
LG CHEM USD500M3.625%N290415R                               USY52758AD47        UXUB      LG Chem n3.625%290415R
LG DISPLAYUS$300M3.875%N211115                              XS1908898668        KPUB      LGDisplayn3.875%211115S
LGDISPLAYUS$687.8M1.5%CB240822                              XS2036529415        Y6KB      LGDisplaycb1.5%240822S
LHN LIMITED                                                 SG1AH9000002        41O       LHN
LHT HOLDINGS LIMITED                                        SG1BG5000006        BEI       LHT
LI & FUNG US$400M4.375%241004                               XS2059681135        LIRB      Li&Fungn4.375%241004S
LI&FUNG US$374.173M5.25%200513                              XS0507147725        4FSB      Li&Fungn5.25%200513S
LI&FUNGUS$650M5.25%PERCAPSEC                                XS1389118453        61FB      Li&Fung 5.25%PCS S
LIAN BENG GROUP LTD                                         SG1G55870362        L03       Lian Beng
LIBRA GROUP LIMITED                                         SG2D82975475        5TR       Libra
LIFEBRANDZ LTD.                                             SG1DF7000002        1D3       LifeBrandz
LIGHT S&E US$600M7.25%N230503A                              US53227QAA67        JIBB      LightS&En7.25%230503A
LIGHT S&E US$600M7.25%N230503R                              USP62763AA81        B75B      LightS&En7.25%230503R
LIMAM US$563.175M4.35%N360405A                              US532522AB57        PRGB      LimaMetron4.35%360405A
LIMAM US$563.175M4.35%N360405R                              USG54897AB28        49WB      LimaMetron4.35%360405R
LINC ENERGY LTD                                             AU000XINEAA6        BRE       Linc Energy
LINC ENERGY US$200M7%C180410                                XS0911050390        2SXB      LincEnergy c7%180410S
LINE CORP YEN36.58B CBZ230920                               XS1876472660        1XWB      LINE cbz230920S
LINE CORP YEN36.58B CBZ250919                               XS1876473049        VIGB      LINE cbz250919S
LINEOUS$117.179M4.737%N330410A                              US53566TAB70        QXJB      LineOne n4.737%330410A
LINEOUS$117.179M4.737%N330410R                              USG5504VAB02        LDUB      LineOne n4.737%330410R
LINEOUS$156.096M4.737%N330110A                              US53566TAA97        USSB      LineOne n4.737%330110A
LINEOUS$156.096M4.737%N330110R                              USG5504VAA29        DREB      LineOne n4.737%330110R
LINEOUS$72.426M3.483%N331010A                               US53566TAC53        XJKB      LineOne n3.483%331010A
LINEOUS$72.426M3.483%N331010R                               USG5504VAC84        95EB      LineOne n3.483%331010R
LION ASIAPAC LTD                                            SG1BD6000002        BAZ       Lion Asiapac
LIONGOLD CORP LTD                                           BMG5521X1092        A78       LionGold
LION-PHILLIP S-REIT ETF                                     SG1DJ3000008        CLR       LION-PHILLIP S-REIT
LIPPO MALLS INDO RETAIL TRUST                               SG1W27938677        D5IU      Lippo Malls Tr
LIPPO MALLS TR S$140M7%PERPSEC                              SG74H8000008        4V0B      LippoMallsTr7%PerSec S
LIPPOMALLSTR S$120M6.6%PERPSEC                              XS1632471352        75AB      LippoMallsTr6.6%PerSec S
LLPL CAP US$775M6.875%N390204A                              US50201PAA49        WKXB      LLPL Cap n6.875%390204A
LLPL CAP US$775M6.875%N390204R                              USY51478AA66        9GYB      LLPL Cap n6.875%390204R
